"","setname","pvalue","estimate","exp","BH"
"139","GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.171379605826907,Inf,"UP",0.840812004513094
"140","GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",1,0,"Down",1
"141","GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY",0.313412583916227,4.83699410441435,"UP",1
"142","GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY",1,0,"Down",1
"143","GO_BOX_C_D_SNORNP_ASSEMBLY",0.171379605826907,Inf,"UP",0.840812004513094
"144","GO_BOX_C_D_SNORNP_ASSEMBLY",1,0,"Down",1
"145","GO_EMBRYONIC_AXIS_SPECIFICATION",0.414498818558443,1.81534714137803,"UP",1
"146","GO_EMBRYONIC_AXIS_SPECIFICATION",0.702211750198495,0.483033788329607,"Down",1
"147","GO_MEIOTIC_MISMATCH_REPAIR",1,0,"UP",1
"148","GO_MEIOTIC_MISMATCH_REPAIR",1,0,"Down",1
"149","GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES",0.528664589866638,1.61211977828126,"UP",1
"150","GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES",1,0,"Down",1
"151","GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DAMAGE_RECOGNITION",1,0.966967210565318,"UP",1
"152","GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DAMAGE_RECOGNITION",0.59811040716824,0,"Down",1
"153","GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING",0.274589284938673,2.41986722137336,"UP",1
"154","GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING",0.59811040716824,0,"Down",1
"155","GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION",1,1.20889023779556,"UP",1
"156","GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION",0.595836554507493,0,"Down",1
"157","GO_RECOMBINATIONAL_REPAIR",0.00089055408775641,3.18518556102923,"UP",0.0380355775276176
"158","GO_RECOMBINATIONAL_REPAIR",0.0514491690590674,0.267183022904925,"Down",0.507527628501837
"159","GO_NON_RECOMBINATIONAL_REPAIR",0.216524611157234,1.8636579957715,"UP",0.936192077960829
"160","GO_NON_RECOMBINATIONAL_REPAIR",0.0573766390303329,0,"Down",0.535054637640418
"161","GO_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION",0.10239521080978,3.6330259685696,"UP",0.695413947550942
"162","GO_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION",0.61148604295643,0,"Down",1
"163","GO_DNA_DOUBLE_STRAND_BREAK_PROCESSING",0.0335924310188594,4.84855308838062,"UP",0.393418311282446
